Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,ID,Source,Location Source,Magnitude Source,Status
2013-03-03,03:25:21,-7.189,145.901,Earthquake,190.4,3.7,189.0,5.6,MWW,,,13.4,,,0.73,USC000FFEI,US,US,US,Reviewed
2013-03-05,06:06:34,-5.214,152.559,Earthquake,22.0,,219.0,5.8,MWW,,,18.1,,,0.73,USC000FGA1,US,US,US,Reviewed
2013-03-06,09:15:59,-22.396,171.055,Earthquake,12.0,,55.0,5.5,MWB,,,109.7,,,1.08,USC000FGWH,US,US,US,Reviewed
2013-03-07,03:36:46,24.31,121.49,Earthquake,15.2,,373.0,5.5,MWW,,,20.4,,,,USB000FGWS,US,TAP,US,Reviewed
2013-03-07,20:55:53,-18.97,169.377,Earthquake,236.5,,478.0,5.5,MWB,,,24.2,,,0.86,USB000FH5E,US,US,US,Reviewed
2013-03-09,14:56:29,50.892,157.218,Earthquake,39.0,,511.0,5.8,MWW,,,37.9,,,0.82,USB000FHXQ,US,US,US,Reviewed
2013-03-10,10:18:15,12.811,-90.64,Earthquake,8.0,,646.0,5.5,MWW,,,37.0,,,1.02,USB000FI8J,US,US,US,Reviewed
2013-03-10,16:49:20,-5.299,151.519,Earthquake,60.0,,461.0,5.7,MWW,,,17.9,,,0.85,USB000FIC3,US,US,US,Reviewed
2013-03-10,22:51:51,-6.598,148.174,Earthquake,28.0,,317.0,6.5,MWW,,,14.2,,,1.26,USB000FIJ4,US,US,US,Reviewed
2013-03-11,01:43:24,-6.662,148.455,Earthquake,14.2,20.4,79.0,5.5,MWC,,,40.4,,,1.22,USB000FILU,US,US,GCMT,Reviewed
2013-03-11,17:12:14,-11.531,165.186,Earthquake,10.0,,336.0,5.5,MWW,,,24.9,,,0.74,USB000FIWW,US,US,US,Reviewed
2013-03-13,03:07:04,-8.798,-131.921,Earthquake,10.0,,385.0,5.5,MB,,299.0,37.0,,,0.89,USP000JZRC,US,US,US,Reviewed
2013-03-13,03:12:52,60.233,163.4,Earthquake,5.0,1.7,627.0,5.8,MWW,,,29.0,,,0.98,USB000FK1L,US,US,US,Reviewed
2013-03-15,23:37:31,0.863,-85.229,Earthquake,21.8,20.7,81.0,5.5,MWB,,,81.1,,,1.37,USB000FLQ3,US,US,US,Reviewed
2013-03-19,03:28:59,-58.892,-24.331,Earthquake,20.0,,339.0,5.9,MWW,,,39.0,,,1.0,USB000FNL4,US,US,US,Reviewed
2013-03-22,22:40:54,-28.044,-176.568,Earthquake,11.7,2.7,247.0,5.5,MWC,,,42.3,,,0.97,USB000FRDZ,US,US,GCMT,Reviewed
2013-03-24,04:18:34,50.731,160.159,Earthquake,8.0,,745.0,5.9,MWW,,,19.4,,,0.58,USB000FRV8,US,US,US,Reviewed
2013-03-24,08:13:45,-20.757,173.37,Earthquake,10.0,,267.0,6.1,MWW,,,32.6,,,0.8,USB000FRWY,US,US,US,Reviewed
2013-03-25,23:02:13,14.487,-90.463,Earthquake,189.0,,674.0,6.2,MWW,,,25.1,,,1.1,USB000FSHY,US,US,US,Reviewed
2013-03-26,13:04:48,16.184,-98.152,Earthquake,10.0,,524.0,5.5,MWW,,,85.7,,,0.79,USB000FSSD,US,US,US,Reviewed
2013-03-26,17:23:58,-9.353,120.278,Earthquake,68.7,3.9,296.0,5.5,MWB,,,33.3,,,0.99,USB000FSZ8,US,US,US,Reviewed
2013-03-27,02:03:20,23.828,121.215,Earthquake,19.0,,324.0,5.9,MWW,,,13.4,,,0.98,USB000FTGC,US,US,US,Reviewed
2013-03-28,03:34:25,-23.538,-175.427,Earthquake,10.0,,242.0,5.5,MWC,,,45.1,,,0.9,USB000FUB3,US,US,GCMT,Reviewed
2013-03-28,04:25:40,-28.069,-176.665,Earthquake,15.0,3.2,255.0,5.6,MWC,,,51.0,,,1.25,USP000JZYP,US,US,GCMT,Reviewed
2013-03-30,01:50:40,10.032,126.247,Earthquake,10.0,,215.0,5.5,MWW,,,23.4,,,0.92,USB000FWB9,US,US,US,Reviewed
2013-03-31,17:08:08,-65.552,-177.804,Earthquake,10.0,,46.0,5.6,MWB,,,58.8,,,1.17,USB000FX1S,US,US,US,Reviewed
2013-04-01,18:53:17,39.526,143.167,Earthquake,14.0,,495.0,6.0,MWW,,,52.5,,,0.85,USB000FXH7,US,US,US,Reviewed
2013-04-02,02:08:48,39.506,143.155,Earthquake,16.8,3.1,380.0,5.5,MWW,,,50.1,,,0.92,USB000FXXK,US,US,US,Reviewed
2013-04-02,14:34:55,-40.445,45.382,Earthquake,9.0,,470.0,5.9,MWW,,,22.2,,,0.94,USB000FY5I,US,US,US,Reviewed
2013-04-05,13:00:02,42.736,131.003,Earthquake,563.3,2.5,680.0,6.3,MWW,,,16.5,,,0.86,USB000G0CQ,US,US,US,Reviewed
2013-04-05,22:31:45,-55.8,-124.27,Earthquake,24.3,,30.0,5.5,MWC,,,54.5,,,,USB000G1A2,US,GCMT,GCMT,Reviewed
2013-04-06,00:29:55,42.726,130.976,Earthquake,562.8,2.1,654.0,5.8,MWW,,,24.8,,,0.78,USB000G128,US,US,US,Reviewed
2013-04-06,04:42:36,-3.517,138.476,Earthquake,66.0,,640.0,7.0,MWW,,,11.4,,,0.81,USB000G13S,US,US,US,Reviewed
2013-04-06,10:29:20,-55.633,-123.207,Earthquake,9.9,2.5,37.0,5.5,MWC,,,71.0,,,0.88,US2013NRBL,US,US,GCMT,Reviewed
